event_id,timestamp,source_ip,username,action,status,details
1,2026-05-26 00:16:13,10.0.2.207,lucia.santos,SSH_LOGIN,success,Acesso fora do horário padrão
2,2026-05-26 03:36:26,10.0.5.190,marcos.oliveira,WEB_REQUEST,success,Acesso fora do horário padrão
3,2026-05-26 11:32:29,10.0.0.190,william.nunes,WEB_REQUEST,success,Acesso normal ao sistema
4,2026-05-26 11:37:09,10.0.3.138,beatriz.campos,FILE_ACCESS,success,Acesso normal ao sistema
5,2026-05-26 12:35:59,10.0.0.56,diego.martins,DB_QUERY,success,Acesso normal ao sistema
6,2026-05-26 13:50:18,10.0.5.190,patricia.rocha,WEB_REQUEST,success,Acesso normal ao sistema
7,2026-05-26 13:50:50,189.75.253.21,roberto.alves,RDP_LOGIN,success,Autenticação bem-sucedida
8,2026-05-26 14:16:59,10.0.0.195,elena.barbosa,VPN_LOGIN,success,Token válido
9,2026-05-26 14:21:53,10.0.0.92,beatriz.campos,API_CALL,success,Acesso normal ao sistema
10,2026-05-26 14:28:44,10.0.0.195,fabio.carvalho,LOGIN,success,Sessão iniciada
11,2026-05-26 15:20:26,10.0.5.167,root,PRIVILEGE_ESCALATION,success,Acesso à conta privilegiada
12,2026-05-26 16:03:22,189.94.42.95,roberto.alves,LOGIN,success,Token válido
13,2026-05-26 17:35:14,10.0.5.29,roberto.alves,LOGIN,success,Token válido
14,2026-05-27 00:02:08,194.165.16.72,dbadmin,FTP_LOGIN,success,Acesso à conta privilegiada - horário incomum
15,2026-05-27 00:20:59,10.0.0.92,thiago.pereira,WEB_REQUEST,success,Acesso fora do horário padrão
16,2026-05-27 08:15:12,189.26.98.72,ana.lima,SSH_LOGIN,success,Sessão iniciada
17,2026-05-27 09:27:14,10.0.1.130,fernanda.costa,WEB_REQUEST,success,Acesso normal ao sistema
18,2026-05-27 09:29:19,10.0.4.51,marcos.oliveira,API_CALL,success,Acesso normal ao sistema
19,2026-05-27 10:30:33,10.0.2.208,elena.barbosa,SSH_LOGIN,success,Credenciais válidas
20,2026-05-27 10:32:37,10.0.4.23,vanessa.souza,VPN_LOGIN,success,Autenticação bem-sucedida
21,2026-05-27 11:56:36,10.0.5.190,fernanda.costa,VPN_LOGIN,success,Autenticação bem-sucedida
22,2026-05-27 12:24:20,10.0.3.138,patricia.rocha,RDP_LOGIN,success,Acesso autorizado
23,2026-05-27 12:24:43,10.0.2.207,carlos.mendes,FILE_ACCESS,success,Acesso normal ao sistema
24,2026-05-27 13:37:35,10.0.2.207,lucia.santos,SSH_LOGIN,success,Autenticação bem-sucedida
25,2026-05-27 14:22:44,10.0.2.208,fernanda.costa,FILE_ACCESS,success,Acesso normal ao sistema
26,2026-05-27 17:30:32,10.0.1.36,marcos.oliveira,FTP_LOGIN,success,Autenticação bem-sucedida
27,2026-05-27 17:47:06,189.117.163.214,patricia.rocha,SSH_LOGIN,success,Acesso autorizado
28,2026-05-28 00:24:55,10.0.2.63,fabio.carvalho,DB_QUERY,success,Acesso fora do horário padrão
29,2026-05-28 08:09:10,189.69.180.240,carlos.mendes,LOGIN,success,Acesso autorizado
30,2026-05-28 08:19:28,10.0.0.98,william.nunes,API_CALL,success,Acesso normal ao sistema
31,2026-05-28 09:05:27,189.42.119.98,joao.silva,RDP_LOGIN,success,Sessão iniciada
32,2026-05-28 10:17:39,10.0.0.98,vanessa.souza,FTP_LOGIN,success,Credenciais válidas
33,2026-05-28 10:27:17,10.0.0.56,diego.martins,WEB_REQUEST,success,Acesso normal ao sistema
34,2026-05-28 11:40:43,10.0.5.140,thiago.pereira,LOGIN,success,Login via 2FA
35,2026-05-28 14:24:24,10.0.0.190,fabio.carvalho,FILE_ACCESS,success,Acesso normal ao sistema
36,2026-05-28 15:28:49,189.76.213.161,william.nunes,FTP_LOGIN,success,Autenticação bem-sucedida
37,2026-05-29 05:55:41,203.0.113.42,sysadmin,LOGIN,failure,MFA falhou
38,2026-05-29 05:56:38,203.0.113.42,sysadmin,RDP_LOGIN,failure,Usuário não encontrado
39,2026-05-29 05:56:42,203.0.113.42,sysadmin,SSH_LOGIN,failure,Token expirado
40,2026-05-29 05:57:07,203.0.113.42,sysadmin,RDP_LOGIN,failure,Usuário não encontrado
41,2026-05-29 05:57:59,203.0.113.42,sysadmin,RDP_LOGIN,failure,IP bloqueado por política
42,2026-05-29 05:59:36,203.0.113.42,sysadmin,SSH_LOGIN,failure,IP bloqueado por política
43,2026-05-29 05:59:37,203.0.113.42,sysadmin,RDP_LOGIN,failure,Senha incorreta
44,2026-05-29 05:59:59,203.0.113.42,sysadmin,RDP_LOGIN,failure,IP bloqueado por política
45,2026-05-29 06:00:15,203.0.113.42,sysadmin,LOGIN,failure,Senha incorreta
46,2026-05-29 06:02:04,203.0.113.42,sysadmin,RDP_LOGIN,failure,MFA falhou
47,2026-05-29 06:02:38,203.0.113.42,sysadmin,LOGIN,failure,Credenciais inválidas
48,2026-05-29 06:02:40,203.0.113.42,sysadmin,LOGIN,failure,Token expirado
49,2026-05-29 06:04:18,203.0.113.42,sysadmin,RDP_LOGIN,failure,MFA falhou
50,2026-05-29 06:04:50,203.0.113.42,sysadmin,LOGIN,failure,Senha incorreta
51,2026-05-29 06:06:26,203.0.113.42,sysadmin,RDP_LOGIN,failure,Credenciais inválidas
52,2026-05-29 06:08:00,203.0.113.42,sysadmin,SSH_LOGIN,failure,Tentativa de acesso não autorizado
53,2026-05-29 08:05:22,10.0.1.179,fernanda.costa,API_CALL,success,Acesso normal ao sistema
54,2026-05-29 08:41:34,10.0.5.190,ana.lima,SSH_LOGIN,success,Sessão iniciada
55,2026-05-29 09:15:56,10.0.0.98,lucia.santos,VPN_LOGIN,success,Acesso autorizado
56,2026-05-29 09:28:10,10.0.0.190,thiago.pereira,LOGIN,success,Acesso autorizado
57,2026-05-29 09:42:27,10.0.2.207,william.nunes,VPN_LOGIN,success,Login via 2FA
58,2026-05-29 10:00:35,10.0.5.167,marcos.oliveira,WEB_REQUEST,success,Acesso normal ao sistema
59,2026-05-29 10:05:11,10.0.5.140,diego.martins,WEB_REQUEST,success,Acesso normal ao sistema
60,2026-05-29 10:34:25,10.0.2.27,lucia.santos,DB_QUERY,success,Acesso normal ao sistema
61,2026-05-29 11:45:37,10.0.2.63,fabio.carvalho,WEB_REQUEST,success,Acesso normal ao sistema
62,2026-05-29 14:23:40,189.156.163.44,elena.barbosa,SSH_LOGIN,success,Login via 2FA
63,2026-05-29 17:01:59,189.170.59.198,thiago.pereira,VPN_LOGIN,success,Login via 2FA
64,2026-05-29 17:15:37,189.26.98.72,carlos.mendes,LOGIN,success,Login via 2FA
65,2026-05-30 14:19:41,10.0.2.207,elena.barbosa,RDP_LOGIN,failure,Acesso fora do horário padrão
66,2026-05-31 03:55:41,203.0.113.42,user004,LOGIN,failure,Usuário não encontrado
67,2026-05-31 03:56:03,203.0.113.42,user011,LOGIN,failure,Usuário não encontrado
68,2026-05-31 03:56:21,203.0.113.42,user008,LOGIN,failure,Usuário não encontrado
69,2026-05-31 03:57:20,203.0.113.42,user002,LOGIN,failure,Usuário não encontrado
70,2026-05-31 03:57:44,203.0.113.42,user015,LOGIN,failure,Usuário não encontrado
71,2026-05-31 03:58:11,203.0.113.42,user001,LOGIN,failure,Usuário não encontrado
72,2026-05-31 03:58:29,203.0.113.42,lucia.santos,LOGIN,failure,Usuário não encontrado
73,2026-05-31 03:58:56,203.0.113.42,user009,LOGIN,failure,Usuário não encontrado
74,2026-05-31 03:59:04,203.0.113.42,fernanda.costa,LOGIN,failure,Usuário não encontrado
75,2026-05-31 03:59:47,203.0.113.42,carlos.mendes,LOGIN,failure,Usuário não encontrado
76,2026-05-31 04:01:09,203.0.113.42,user005,LOGIN,failure,Usuário não encontrado
77,2026-05-31 04:01:26,203.0.113.42,ana.lima,LOGIN,failure,Usuário não encontrado
78,2026-05-31 04:01:31,203.0.113.42,user012,LOGIN,failure,Usuário não encontrado
79,2026-05-31 04:02:06,203.0.113.42,user016,LOGIN,failure,Usuário não encontrado
80,2026-05-31 04:04:05,203.0.113.42,user007,LOGIN,failure,Usuário não encontrado
81,2026-05-31 04:04:08,203.0.113.42,user010,LOGIN,failure,Usuário não encontrado
82,2026-05-31 04:55:41,203.0.113.42,joao.silva,LOGIN,failure,Usuário não encontrado
83,2026-05-31 04:56:31,203.0.113.42,sandra.ferreira,LOGIN,failure,Usuário não encontrado
84,2026-05-31 04:59:23,203.0.113.42,diego.martins,LOGIN,failure,Usuário não encontrado
85,2026-05-31 04:59:31,203.0.113.42,lucia.santos,LOGIN,failure,Usuário não encontrado
86,2026-05-31 04:59:31,203.0.113.42,fernanda.costa,LOGIN,failure,Usuário não encontrado
87,2026-06-01 08:37:47,189.42.119.98,carlos.mendes,RDP_LOGIN,success,Autenticação bem-sucedida
88,2026-06-01 09:15:46,189.97.21.142,diego.martins,FTP_LOGIN,success,Sessão iniciada
89,2026-06-01 09:24:55,189.32.250.237,carlos.mendes,SSH_LOGIN,success,Sessão iniciada
90,2026-06-01 09:53:48,189.75.253.21,patricia.rocha,SSH_LOGIN,success,Sessão iniciada
91,2026-06-01 10:17:19,10.0.3.57,sandra.ferreira,DB_QUERY,success,Acesso normal ao sistema
92,2026-06-01 10:23:48,189.93.148.50,marcos.oliveira,FTP_LOGIN,success,Autenticação bem-sucedida
93,2026-06-01 10:30:20,10.0.5.29,roberto.alves,API_CALL,success,Acesso normal ao sistema
94,2026-06-01 10:36:42,10.0.5.27,beatriz.campos,SSH_LOGIN,success,Token válido
95,2026-06-01 10:49:41,10.0.4.7,diego.martins,WEB_REQUEST,success,Acesso normal ao sistema
96,2026-06-01 11:02:36,10.0.1.36,dbadmin,PRIVILEGE_ESCALATION,success,Acesso à conta privilegiada
97,2026-06-01 11:52:24,10.0.5.167,fabio.carvalho,WEB_REQUEST,success,Acesso normal ao sistema
98,2026-06-01 12:03:08,189.159.227.221,diego.martins,LOGIN,success,Token válido
99,2026-06-01 12:12:59,10.0.0.190,joao.silva,WEB_REQUEST,success,Acesso normal ao sistema
100,2026-06-01 12:28:56,10.0.4.109,fabio.carvalho,LOGIN,success,Token válido
101,2026-06-01 12:33:55,10.0.5.167,diego.martins,FTP_LOGIN,success,Token válido
102,2026-06-01 12:44:48,10.0.2.40,thiago.pereira,RDP_LOGIN,success,Autenticação bem-sucedida
103,2026-06-01 13:07:47,10.0.4.51,marcos.oliveira,SSH_LOGIN,success,Token válido
104,2026-06-01 13:13:43,189.76.213.161,sandra.ferreira,VPN_LOGIN,success,Acesso autorizado
105,2026-06-01 13:14:24,10.0.3.57,roberto.alves,API_CALL,success,Acesso normal ao sistema
106,2026-06-01 13:44:09,10.0.5.167,beatriz.campos,DB_QUERY,success,Acesso normal ao sistema
107,2026-06-01 14:21:17,189.164.177.143,fernanda.costa,RDP_LOGIN,success,Acesso autorizado
108,2026-06-01 14:38:04,10.0.0.98,beatriz.campos,FTP_LOGIN,success,Login via 2FA
109,2026-06-01 14:39:47,10.0.0.195,administrator,SSH_LOGIN,success,Acesso à conta privilegiada
110,2026-06-01 15:00:46,189.76.213.161,sandra.ferreira,SSH_LOGIN,success,Credenciais válidas
111,2026-06-01 15:07:16,10.0.3.151,fabio.carvalho,API_CALL,success,Acesso normal ao sistema
112,2026-06-01 15:36:47,10.0.2.208,fabio.carvalho,FILE_ACCESS,success,Acesso normal ao sistema
113,2026-06-01 15:42:07,10.0.3.138,patricia.rocha,RDP_LOGIN,success,Acesso autorizado
114,2026-06-01 16:18:14,10.0.0.195,vanessa.souza,API_CALL,success,Acesso normal ao sistema
115,2026-06-01 16:41:17,10.0.3.138,fabio.carvalho,VPN_LOGIN,success,Token válido
116,2026-06-01 17:16:02,189.219.60.222,joao.silva,VPN_LOGIN,success,Acesso autorizado
117,2026-06-01 17:19:05,10.0.4.109,roberto.alves,FTP_LOGIN,success,Login via 2FA
118,2026-06-01 17:32:47,10.0.5.27,lucia.santos,RDP_LOGIN,success,Login via 2FA
119,2026-06-01 17:38:47,189.164.177.143,joao.silva,SSH_LOGIN,success,Acesso autorizado
120,2026-06-01 17:46:42,10.0.3.57,patricia.rocha,DB_QUERY,success,Acesso normal ao sistema
121,2026-06-02 00:23:35,10.0.3.138,william.nunes,WEB_REQUEST,success,Acesso fora do horário padrão
122,2026-06-02 04:55:41,194.165.16.72,user019,LOGIN,failure,Usuário não encontrado
123,2026-06-02 04:56:09,194.165.16.72,user001,LOGIN,failure,Usuário não encontrado
124,2026-06-02 04:56:20,194.165.16.72,user002,LOGIN,failure,Usuário não encontrado
125,2026-06-02 04:56:20,194.165.16.72,user003,LOGIN,failure,Usuário não encontrado
126,2026-06-02 04:57:01,194.165.16.72,joao.silva,LOGIN,failure,Usuário não encontrado
127,2026-06-02 04:58:51,194.165.16.72,lucia.santos,LOGIN,failure,Usuário não encontrado
128,2026-06-02 04:59:08,194.165.16.72,user010,LOGIN,failure,Usuário não encontrado
129,2026-06-02 04:59:10,194.165.16.72,fernanda.costa,LOGIN,failure,Usuário não encontrado
130,2026-06-02 04:59:17,194.165.16.72,user009,LOGIN,failure,Usuário não encontrado
131,2026-06-02 05:00:21,194.165.16.72,user007,LOGIN,failure,Usuário não encontrado
132,2026-06-02 05:00:29,194.165.16.72,user015,LOGIN,failure,Usuário não encontrado
133,2026-06-02 05:00:51,194.165.16.72,user011,LOGIN,failure,Usuário não encontrado
134,2026-06-02 05:00:53,194.165.16.72,user014,LOGIN,failure,Usuário não encontrado
135,2026-06-02 05:01:41,194.165.16.72,user008,LOGIN,failure,Usuário não encontrado
136,2026-06-02 05:02:11,194.165.16.72,user016,LOGIN,failure,Usuário não encontrado
137,2026-06-02 05:03:09,194.165.16.72,user018,LOGIN,failure,Usuário não encontrado
138,2026-06-02 05:04:26,194.165.16.72,user005,LOGIN,failure,Usuário não encontrado
139,2026-06-02 05:05:02,194.165.16.72,user004,LOGIN,failure,Usuário não encontrado
140,2026-06-02 05:23:24,10.0.0.56,carlos.mendes,API_CALL,success,Acesso fora do horário padrão
141,2026-06-02 09:22:49,189.26.98.72,diego.martins,SSH_LOGIN,success,Sessão iniciada
142,2026-06-02 10:30:09,10.0.2.27,elena.barbosa,API_CALL,success,Acesso normal ao sistema
143,2026-06-02 10:45:20,10.0.0.98,roberto.alves,WEB_REQUEST,success,Acesso normal ao sistema
144,2026-06-02 10:51:44,10.0.1.36,elena.barbosa,FTP_LOGIN,success,Sessão iniciada
145,2026-06-02 10:58:17,10.0.5.27,lucia.santos,LOGIN,success,Sessão iniciada
146,2026-06-02 11:39:33,10.0.2.155,sandra.ferreira,API_CALL,success,Acesso normal ao sistema
147,2026-06-02 12:42:31,189.93.148.50,patricia.rocha,SSH_LOGIN,success,Token válido
148,2026-06-02 12:49:18,10.0.1.246,patricia.rocha,WEB_REQUEST,success,Acesso normal ao sistema
149,2026-06-02 12:56:09,10.0.5.167,roberto.alves,API_CALL,success,Acesso normal ao sistema
150,2026-06-02 13:06:43,189.93.148.50,william.nunes,RDP_LOGIN,success,Autenticação bem-sucedida
151,2026-06-02 13:11:19,189.156.163.44,ana.lima,FTP_LOGIN,success,Sessão iniciada
152,2026-06-02 13:53:49,10.0.5.140,carlos.mendes,LOGIN,success,Acesso autorizado
153,2026-06-02 14:54:35,189.219.60.222,ana.lima,RDP_LOGIN,success,Autenticação bem-sucedida
154,2026-06-02 15:36:39,10.0.2.40,beatriz.campos,LOGIN,success,Login via 2FA
155,2026-06-02 15:40:16,10.0.3.151,elena.barbosa,LOGIN,success,Login via 2FA
156,2026-06-03 05:50:04,10.0.3.57,william.nunes,SSH_LOGIN,failure,Acesso fora do horário padrão
157,2026-06-03 08:03:35,189.175.166.19,thiago.pereira,SSH_LOGIN,success,Token válido
158,2026-06-03 08:05:14,189.70.254.237,ana.lima,RDP_LOGIN,success,Credenciais válidas
159,2026-06-03 08:35:37,10.0.3.88,marcos.oliveira,WEB_REQUEST,success,Acesso normal ao sistema
160,2026-06-03 08:45:27,189.159.227.221,ana.lima,FTP_LOGIN,success,Token válido
161,2026-06-03 11:32:47,10.0.5.140,roberto.alves,API_CALL,success,Acesso normal ao sistema
162,2026-06-03 11:53:40,189.164.177.143,sandra.ferreira,FTP_LOGIN,success,Login via 2FA
163,2026-06-03 13:07:49,189.76.213.161,beatriz.campos,LOGIN,success,Token válido
164,2026-06-03 13:20:57,10.0.0.8,fernanda.costa,SSH_LOGIN,success,Sessão iniciada
165,2026-06-03 14:05:23,10.0.5.140,beatriz.campos,DB_QUERY,success,Acesso normal ao sistema
166,2026-06-03 14:23:07,10.0.0.195,patricia.rocha,DB_QUERY,success,Acesso normal ao sistema
167,2026-06-03 15:46:41,10.0.5.140,fabio.carvalho,DB_QUERY,success,Acesso normal ao sistema
168,2026-06-03 17:27:57,10.0.2.27,beatriz.campos,SSH_LOGIN,success,Sessão iniciada
169,2026-06-03 17:44:56,189.181.18.12,sandra.ferreira,LOGIN,success,Credenciais válidas
170,2026-06-04 00:54:06,45.142.212.100,sa,SSH_LOGIN,success,Acesso à conta privilegiada - horário incomum
171,2026-06-04 08:28:16,10.0.2.207,william.nunes,FILE_ACCESS,success,Acesso normal ao sistema
172,2026-06-04 08:51:45,10.0.5.29,joao.silva,API_CALL,success,Acesso normal ao sistema
173,2026-06-04 10:28:53,189.26.98.72,thiago.pereira,FTP_LOGIN,success,Autenticação bem-sucedida
174,2026-06-04 10:36:15,10.0.2.40,beatriz.campos,API_CALL,success,Acesso normal ao sistema
175,2026-06-04 11:25:44,10.0.1.179,roberto.alves,FTP_LOGIN,success,Acesso autorizado
176,2026-06-04 12:01:53,10.0.2.208,beatriz.campos,LOGIN,success,Credenciais válidas
177,2026-06-04 12:23:32,10.0.5.140,fabio.carvalho,FILE_ACCESS,success,Acesso normal ao sistema
178,2026-06-04 12:44:55,10.0.5.27,elena.barbosa,SSH_LOGIN,success,Acesso autorizado
179,2026-06-04 13:57:59,10.0.1.246,carlos.mendes,SSH_LOGIN,success,Token válido
